floor_number,comment,replys
1,"国内关于医疗完全私有化的议题其实有个完美的例子，不过不是给人类治病的：

宠物医院，谁消费过谁知道。

甚至与之对照的例子都有：兽医站。","['宠物医院去一趟几百到几千，不保证治好。再给你配一堆没用的药。我的花了1000多回来还是去世了，留下一堆不知道干啥的药，而且只是洗了下眼睛和耳朵。', ['我花了一万还是把我的猫送走了，猫走的时候，正难受呢，跑过来问我要不要火葬，问了三次，火葬快一千了', '一千多是不是合葬？就是好几只动物放一起烧？'], '现在又不是没有民营医疗机构，还用看宠物医院\n\n医美行业咋样，大伙心里都有数\n\n再加上医美贷，这味儿一下就上来了', ['我朋友做医美，他真研究过医美贷，想给自己的客户搞搞', '这可是真的会坑死很多刚进入社会、经济能力和经验都不足的女生的啊'], '亲身经历！8年前我捡了个猫，要打什么疫苗，名字忘了。第一针是到宠物医院打的，400，关键是小奶猫像疯了一样嚎叫，都叫出张飞的声音了，折腾了很久很久。中间几天我跟同事聊天说了这事，大家一致推荐我去防疫站打。第二针到防疫站，免费，连针头针管的钱都不需要出，兽医手艺出神入化，猫在我怀里都不知道发生了什么就打完了，全程没叫一声。具体的政策好像是每年上半年还是第二季度免费，记不清楚了，其他时间去要收几十块钱。而且那天我在防疫站还看到很多带着鸽子、鸭子来打针的哈哈哈。', ['牛马之类的要是疼到动起来可是会死人的', '所有人工饲养的禽类，除了生产特殊血清，或者出口国家不要求强制免疫的，都要强制免疫H5和H7禽流感疫苗'], '其实还真不一样，兽医站的客户基本是把动物当做赚钱的物比如这头牛就一万五你太贵了我就不看了，宠物医院很多人把动物看做“人”不计成本看病甚至死了还要花三十万克隆', ['你猜猜人医疗完全私有化了，会是哪个模式？', '医疗行业很特殊，它是信息高度不对称的，消费者的想法权重微乎其微'], '沙织你死的好惨啊！', ['黛真知子一脸黑人问号', ''], '问题是他自己生病了不去私立医院还是跑去公立医院啊', ['是啊 中国就有私立医院 户某人又不肯去', '我支持私立，是因为有钱挣，但我看病肯定首选公立啦~'], '治个宠物皮肤病要花了几千，药浴打针剃毛一条龙。', [], '哈哈哈，我朋友去了一次回来之后感叹：宠物没有医保！', ['有的，支付宝上就可以买宠物保。', '那还咋滴，还想走公共医保啊？聊胜于无，不想买就赌呗。'], '医疗完全私有化对于人类医院也是有试点的，某地级市就搞过这事，把所有公立医院都卖了，完全私有化，当时还被各大媒体赞扬，号召其他城市学习这种做法。但结果就是这个城市的当地人在当地看不起病，只能跑隔壁市看病，当地骂声不断，政府想回收几个医院也做不到，只能花钱重新修了个公立医院才让情况好了起来。', ['宿迁'], '推荐去我们江苏宿迁感受一下私立医院。', []]"
2,"别看他说什么看他做什么。

之前他有一次流感发烧，居然是立马去公立医院打吊针还刷的医保。我就知道这是个什么货色了","['户子聪明的很，你以为他是傻子，那都是装的，自己开发了独特赛道，还能赚到钱，比大部分人都赚的多，为了赚钱，还得挨骂，还不能还嘴', ['马圣户圣尼禄圣，这三位属于一个赛道的', '户子利润是最高的，马逆没什么广告费，估计只能吃ngo，还得养团队。尼禄是自愿的'], '他说的很多话他自己也不信，他说他不吃中餐不吃米饭这种主食，不吃不健康的，结果下了播搁那吃烧烤呢', ['米饭不吃 那改成ごはん或者rice 就可以吃了吧', '我说到≠我做到'], '赚钱是赚钱，被人骂只不过是代价，钱可是实实在在到手了的，可不能为了赚钱把自己都给骗了，到时候丢了命岂不是亏大了，他那么会说医院的事，到底医院好不好他会不知道？', ['钱没了可以再挣。命没了有钱也花不了啊。'], '他只是坏，又不是大春', ['那这就是坏', '不算坏。只是把互联网研究透了。豁出去了。'], '吹捧私有是工作，享受公立是生活', ['批判性享用社会主义福利待遇'], '户晨风先生批判性使用公有制医院以了解公有制缺点', [], '他说的很多话他自己也不信，他说他不吃中餐不吃米饭这种主食，不吃不健康的，结果下了播搁那吃烧烤呢', [], '命是自己的，钱是从傻子手里骗的。\n工作是工作，生活是生活。', [], '给你说吧现在的网红没傻人，都是说一套做一套的“聪明人”。', [], '冷知识公立医院科室可以私人承包的', ['至少别刷医保好歹刷个商保', '现在不准了，你去告一个死一个，不过坏别人财路说不准的']]"
3,"为什么一个中专肄业生的言论也可以成为青年意见领袖？

纯好奇？

更新，这是我现在的想法。

今天来说一下为什么“造谣一张嘴，辟谣跑断腿”
46 赞同 · 5 评论文章","['因为中专学历的不止他一个，甚至还有不少中专都不是的', ['智能路障:在想我的事', '还有函授中专，第一次知道中专还能函授'], '睿智也需要睿智代表的，这就是民主', ['艹了，解释很到位，醍醐灌饼（）'], '只要你脸皮够厚，大胆发声，总会有人把你当作“领袖”', ['这倒是，无论你有什么离谱的想法或言论，总有人会跟你的想法接近。只是他们不一定会大声说出来，表明自己立场。这个时候如果有人言论正好符合他们的心意，就会不自觉的关注他支持他，然后意见领袖就出来了。不管怎么说，他的言论背后总是代表了一部分人的想法'], '青年可能自己都不知道自己啥意见', ['这话精辟'], '因为对殖人来讲，这已经是不可触及的天花板了啊', ['你们俩啥关系？', ''], '因为高学历有本事的青年都有事干，能被他意见的青年基本都是剩下吃饱没正事干的那批 而这批实际上才是社会上的大数群体\n我虽然反精英主义，但承认包括我自己在内的绝大多数都属于平庸之辈，听我们的意见属实危害社会祸害革命', [], '也许他的这个学历在他的粉丝群里已经算高的了。', ['2020年第七次人口普查的结果', '这是最新的数据嘛？2024年《统计年鉴》里的？'], '这就是他那一派的学历代表', [], '不能吧，B站真是年轻人的地盘，户子已经和装甲大佐坐一桌了', [], '谁能给群众提供幻觉，谁就能轻易地成为他们的主人。——《乌合之众》', []]"
4,"因为户晨风是中专，他可能一辈子遇到最大的烦心事就是去挂号的时候发现看病要排队了。

如果他学历再高点，能到高中，他就该鼓吹高考是落后制度，大学应当私有化（事实上已经有非公办大学，至于学历价值以及非公办大学为什么分数永远比不上公办同档次大学，户晨风暂时还遇不到这个困难）。

如果他学历再高点，到本科，他就该发现国企央企公务员招考也是一道困难。

我是很期待户晨风能说出“公务员应当私有化”这种观点的。","['那公务员的大手不介意摸一摸他，右派公知(他不是，他是无知)有一个很大特点，就是很聪明，从不抨击具体的官僚和资本，只抨击不具体的官僚资本。', ['有没有可能就是因为他是个没用的东西，所以封不封他没什么区别', '都封几次了，屡次倒下又站起来，人家很聪明，不是无知'], '', ['性压抑了', '⭐🦆🐜'], '不许忘掉铁路私有化快给想看的观众加上', ['铁路、电信、石油、电力、高速私有化这些都是10-15年在互联网上的老话题了。', '这个他还真在微博发过。然后被封了一段时间。'], '对，像知乎上主要是学生，主要攻击的就是高考……（为防ip杠佬，声明北京工作的广西人）', ['攻击分省招生的也没啥问题，攻击应试体制的比较难绷', '知乎不太攻击高考，相反知乎的很多人恨不得以后把高考分数纹在脑门上判断社会地位。'], '首先，我想知道，公务员怎么私有化？\n东晋门阀？', ['美国不就有美联储这个私人的国家机构', '直接把绝大部分政府职能全都私有化了呗，比如说监狱'], '别急，我带着民办派出所来救户子了', ['私有化的结果就是，有钱拿的事有人管，没钱拿的没人管，但是社会很多事情做起来是不能讲究金钱回报的。比如偏远地区的铁路电力信号，鸡毛蒜皮的事情等等', '啊，你认真的?'], '户晨风的爆火真实的反映了我国的本科率只有百分之五的现实。', ['人家只是极端利已主义，又不是傻瓜。', '我有个博士生舍友喜欢看，比我小好几届'], '户晨风不是木渎中学国际部的么，和未明子一个高中', ['一个高中能出这两个卧龙凤雏也是有了', '这俩人都是你的潜在客户'], '自我之上，人人平等。自我之下，阶级分明～', [], '看少了还是，户子也支持大学私有化，所有他见过的东西他都支持私有化', []]"
5,"以前看过一个户晨风吹嘘美国消防的，大概是这么个意思。

户晨风：私有制就是好。

你看看人家洛杉矶。

就是搞私有化消防保护，那消防飞机又大又漂亮。

一旦发生火灾，分分钟就剿灭比中国强多了。","['剿灭受灾群众，将不稳定因素掐灭于萌芽', ['剿灭？直接喷洒橙剂对吧？', '大明国策，草剃流民'], '啥时候讲的啊，这嘴真是开了光了，让他多讲点', ['洛杉矶快烧完的时候说的，要预言属于想太多了', '洛杉矶山火从2015年开始就是年例，比他出名早吧'], '你说的可不是以前..这可是户子在洛杉矶大火后说的..', ['逆天到一定程度其实挺有意思..我没事就看户子切片找乐子', '是洛杉矶大火之后呀这很好找切片的'], '他什么时候把七十架波音747灭火机给补全', ['别说了别说了，上次欠的医疗船还没补呢！'], '原来飞机的经费都被他贪污了', [], '他说得很对啊，就是有一个小细节没讲：当地用水私有化了，消防队没有多少水来灭火', [], '剿灭？直接喷洒橙剂对吧？', [], '确实', [], '确实是又大又漂亮，百亿千亿富豪买来保护自己豪宅的，能不漂亮么？中国富豪就不行，都不知道买个飞机保护一下自己深山里的豪宅，也不怕被火烧了。', ['那些豪宅还不够豪，比弗利山庄那边的豪宅可还一点问题没有', '错误的，富人的他们也不保护，这次一堆好莱坞明星的豪宅也被烧了'], '看着越来越像深海了', []]"
6,"说实话，大家的论点都错了

东大还是非常开明的，在春风吹过来后，除了莆田系，东大真的开放过区域医疗全部私有化。

从2000年开始，以中国江苏省为代表的部分省市掀起了一股医疗机构私有化的浪潮，被业界视为中国医院产权制度改革的起始点。
北京有协和，我们江苏有仇和 （太伟大啦，改革先锋）

潘多拉魔盒的打开

在宿迁医疗改革开始后的5年内，全国医疗服务价格持续飚升，而宿迁官方的统计显示，宿迁的医疗服务价格不升反降。以1999年和2004年的数字作比较，市县级医院人均门诊费用由75.49元降到70.19元，下降了7.0%；乡级医院人均门诊费用由37.62元下降到27.84元，下降了26%。其他如病床日收费和出院者平均医药费都有所下降。

可现在开放初期，确实是让大家尝到了甜头，医疗费下降，屡禁不止的红包后门得到管制，医疗工作人员工资提高，此类好处不胜枚举。

但是古尔丹，代价是什么呢？

由于改革过于激进，宿迁市的公立医院几乎全部卖光，导致宿迁甚至没有市立医院。

2000年，宿迁开启了被称为“卖光医院”式的改革，全市134家医院中的133家变为民营。

与此同时，私有化也悄悄露出了他的其他面目

由于私有化太过于激进，国家管制的不足，导致以药养医的现象，不但没有消除，反而更加严重，医生倡导病人多做检查，多做手术来换取回扣，一些医院的剖腹产率甚至达到90%，医疗价格上涨，导致当地民众有些甚至跑往其他省份或市区的人民医院看病。

但确实，以宿迁自身的特殊情况，医疗改革一定程度上取得了成果，但究竟是利大于弊还是弊大于利，各地学者有不同的判断。

请看到这个回答的宿迁人，请你们发表自己的看法","['吓唬小孩子都说仇和来了', ['能止小儿夜啼', '唉，改革先锋'], '同时还推进了血浆经济的私有化，到现在血浆贸易量已经超过无偿献血量', ['血浆贸易获得的血浆只能生产血液制品，不能用于临床输血', '血浆贸易才是正常的。目前献血的量绝对不可能达到需求。基本上现在做大手术前都要求亲属献血，不然不做'], '确实是很好的私有化改革案例，但这不是我想要的“改革”', ['只有“革”是吧', '改革不会因为你想要什么就能变成什么。'], '仇到了昆明之后举报不断，与其说昆明群众觉悟高，不如说这人吃独食太厉害，地头蛇一点分润不到。', ['说是当年种的树都是指定某地拉来的', '都这样，鄙市市长黄君兴国，搞城建那地砖颜色都他亲自敲定，然后全是他们家兄弟、亲戚的建材公司接单。'], '高中班主任讲过他的同事曾教过仇和儿子，其子全身行头不低于五万块钱', ['毕竟违纪进去了'], '现在宿迁第一人民医院是投资20亿，由省人民医院建设运行，兜兜转转又回到了最初的模样？', ['应该不是费用，而是水平问题。所以省里让省人民医院和鼓楼医院各去办了一个医院，让宿迁医疗条件尽快提升。', '是啊，又回来了（是不是医疗费用的原因？）'], '宿迁人都去隔壁市的公立医院看病', ['敢去美国看私立，买了哪个等级的商保啊，保险签约了几家美国医院啊，年度免赔额多少啊，自付比例，自付限额多少啊，用的ppo方案还是hmo方案啊', '私立医院谁信啊'], '那些医院的买方一直不报道，兜兜转转，新闻学的魅力所在。对老宿迁人来说，只能接受结果，抱怨什么呢？还是感谢省里的', ['本来经济不怎样的的情况下，服从省里安排'], '我在那里工作三年，我只能说宿迁的那个人民医院就是shit，拍片开药折腾我两三百看不好一个慢性咳嗽。最后是工业园宿舍楼下的卫生所大夫给我开了两片酮替芬好的。', [], '私立没保险就是从病患里榨钱，有保险就是中产均摊，公立是制度bug，教授坐餐桌基层蹲厕所', ['他好像忘了美国被枪毙的CEO是为啥被枪毙的。', '保险又不是慈善机构，说到底 羊毛不也还是出在羊身上。 私立医院的最后目的是为了赚钱。']]"
7,"等哪天国家真的医疗私有制了，他又会转身带头狂热支持公有制了

这种人也不是墙头草，其实他们自始至终只有一个标准:反华。","['真私有制了他就说不出来了，利益集团随时能给他安排一辆全险半挂送他上路，很多人嚷嚷中国言论不自由，事实上他们能说出来恰好就是言论自由的表现，要不然老美对个账还得跑小红书来', ['波音出了两个吹哨人都被捂嘴，你觉得国内要是有类似利益集团，下限是会比波音高还是低？', ''], '在中国反华，跟反人类有什么区别？', ['因为中国政府对普通老百姓的包容度还是很高的', '外网只要反华，造谣即使很反智的都有人信，还有人回复'], '小帽一扣', ['自己老婆找了老王怪别人说你戴绿帽子', '揭你老底'], '户圣居然一年恰了46万是我一直无法理解的事情', ['人家有经费的，合法渠道刷一刷而已，不然你以为他为什么这么卖力？不就是有人拿他当枪嘛，就跟国内拿甜甜圈当电子宠物一样。也许没多大作用，但能把你舆论搅浑，能把矛盾放大。都睡国内不自由不自由，这种对换立场放x上，早特么给你封号了'], '你不理解的事情都可以扣上反华的帽子', ['是的，对政治和经济一窍不通的人就喜欢这样说话。达克效应非常明显。'], '感觉他只是为了赚钱', [], '世界上医保排名前三的台韩日都是私立为主，私立医院床位占据80%到90%，在激烈的竞争压力下，医院诊所态度好，还替老百姓省钱，他们是要做长久生意的。以医保排名第一的台湾来讲，医疗花费只占据gdp的6.1%，比大陆低。', ['讲个笑话，当初这位可是支持私有化医疗的，莆田系就是他手把手扶持的，结果呢', '国情不一样而且不是没有私有化过，试点证明真不行，花费贵没人看，最后还是去隔壁市看公立医院再就是一堆私立医院骚操作，男科医院上手术台加价过度医疗'], '精辟', [], '那请问支持风控和不支持的到底谁才繁华呢', [], '泥头车居合问你怕不怕。。', []]"
8,"我当年也拥护过私有化，

县里把闹市区一大片公有门脸房卖掉后，建设了私有门脸房。

原来六十平米年租2000，

二十年时间干到20万。

这里面有太多因素让大家接受地价了。

大家也默认这种地段就是20万六十平。

可现在有个问题，当年政府卖地没卖完，还剩了个菜市场。

年租也涨了不少，六十平1万。

私人业主组了个委员会，天天转发什么官不与民争利，支持私有化。

终于，开发商把菜市场也拆了。

现在那个地方买菜都比别的地方贵50%

反正我是没见过真正私有化后，穷人能受益的。","['电视剧在私有平台放映后，广告都没了，我在优衣库爱奇迹看电影电视从来没见过广告，因为我是vvvvvvvvvvvvip', ['哈哈哈，要不给你加个狗头', '他的意思是，看盗版资源。'], '这是资本家要求政府不与资本家争利？', ['对啊，要不为啥有人鼓吹私有化。', '广铁被喷成什么样了。合理怀疑不是纯就是坏'], '总想着私有化后资本会良性竞争，实际上只有兼并兼并兼并垄断', ['神神总觉的自己能当终产者\n学法律的总觉的能掌握世间裁决\n学艺术的总觉的自己能掌握喉舌\n学金融的总觉的自己是索罗斯', '是啊，资本家又不傻，掌握核心资源的就那么几家，为什么要互相残杀？而不是默契合作，吃垄断红利，一起发财不好吗？甚至不需要勾结，大家有一定默契就好。\n\n这不就是最普遍的第三世界的现状，也没看到那些第三世界国家的老百姓生活有多么的幸福啊？这些人是瞎吗？'], '南方系：食盐私有化后质优价低\n南方系：涨价几毛就斤斤计较一辈子没出息', [], '资本家最喜欢说不与民争利，250以为民是自己，结果自己是资本家的利。', ['对，马云才是与民争利的民，这里的民可不是指普通人。此民非彼民。', '马云也是民，普通人有啥利值得政府争。'], '穷人花得多了，有的人可就赚得爽咯', [], '记住一点，从古至今（除了极少数时间）这个“民”都不包括穷人。', [], '如果你是一个平凡的普通人，公有制是对你最大的保护。', ['任何时候，任何制度，90%的人都是普通人'], '私有化就是合法占有国有资产，毕竟没私有化的时候，至少还有反贪污嘛', [], '穷人没有思考能力，必须是真实体验了自己想要的环境，才能明白自己选的是什么', []]"
9,"装甲尼禄和户晨风都是中专肄业啊。

户晨风的主要收入就是直播，目前看年收入大概在50万不到，48万左右。

他们的思想如果不极端，根本没有收视率。

不极端的中专生很多啊，也没有关注度。","['关于学历我看到最具攻击性的就是他比常熟阿诺学历都低', ['阿诺好歹是民办大专毕业\n这两个是民办函授中专肆业', '哈哈哈，说得对'], '我去，神神的钱这么好赚吗？', ['没有共振，只有臭味相投', '只能是中国人确实多。那个小领域知名度上去都有钱。\n而且越是这些极端思想，共振起来越是冲动。'], 'B站三天两头给我推荐它的直播，最后不得不拉黑终于安静了，阿姨给的这个推荐力度想不赚都难', ['难道阿姨喜欢这一款？也难怪，阿姨的学历我查过', '网上一搜就有'], '说明审核漏洞很大。', [], '户晨风先生的英语水平很好啊', [], '李铑师也是。', [], '户晨风不是木渎中学国际部的吗？', ['自抬身价的一个方法，就是把自己做的事说的无比重要。'], '诉诸动机', [], '尼禄这学历咋进的唯品会', [], '中专也就能收割中专以下了，尊重命运吧', []]"
10,热知识，户子学历不如常熟阿诺,"['户子有可能支持公有制，但户子支持公有制不太可能', ['户圣头型也尖尖的', '咋就不支持了，看病去公有制的医院看'], '阿诺最起码之扎药霍霍自己，户子的主张要是施行是真霍霍所有人', ['就诺哥这为医学献身的精神，噶了解剖之后高低能发几篇一区', '某种意义上应该研究研究阿诺为啥猛打药都不死，欧美那帮人不到三十岁就没了，阿诺现在还活蹦乱跳呢'], '你的学历怎么尖尖的', ['你的学历怎么湿湿的暖暖的', '我超尖锐湿疣啊'], '好渴啊，我去喝杯水', ['（拿来一根黄瓜）', '这个不是黄瓜，这个是冬瓜'], '公立医院，和私立的相比之下，宠物医院更适合它', ['热知识，国内大部分宠物医院就是私立的，所以才会出现狗看病比人贵的情况。', '热知识，基层有公办的动物防疫站，只是没多少人愿意去'], '那我问你', [], '可爱捏', [], '比得过范小勤就行了', [], '有点辱常熟阿诺了', [], '常熟阿诺的学历其实也是中专，而不是大专', ['三加二吧，估计常熟职教中心出来的。他初中的学校可不算差哦重点初中', '常熟阿诺是中专毕业，户子应该跟他一样']]"
11,昨晚刚好刷到户子直播，说现代文化已经很高级了，传统文化就该抛弃，下面一堆人在骂他，户子想了成语弃若敝履，半天只说了个履，前面的三个字想不起来，还用错了地方。就这么个玩意在互联网上全凭脸皮厚。,"['热知识，健美阿诺的学历比户子高。', ['阿诺大专毕业，户圣高中没念完', '阿诺还当过辅警呢，要不是扫黄给小姐通风报信估计就一直干下去了'], '看得出来确实抛弃了', ['我超，撸出', '不玩撸看电棍？'], '我以为唱反调至少要像韩寒、易中天这类人，文化素质过得去，现在户子都可以了。', ['这是新赛道。'], '他是不是想说敝帚自珍？', [], '弃如敝履搞不好还是看吕严的小品学的', ['你意思是他连相声都听不懂？'], '你是要笑死我', [], '抛弃传统文化也是鲁迅的看法，鲁迅还支持汉字拉丁化', ['鲁迅批判的是传统文化的糟粕。', '很明显你是以自己的主观臆测代替了客观事实'], '爱国赛道太拥挤没油水捞，只能反着来打造一个特色产业，每个月捞个五六万，七八万的，也不错了。一年入账小100个w，干个七八年甚至十年衣食无忧了。至于医院私有公有，说真的不关心，这个是赚钱的话题，工具。', [], '说起来我最早认识户晨风还是他用简单数学题拷打擦边女主播', ['有没有可能 现在的00后擦边女主播学历都比户子高', '这活最早好像是药酱开始玩的'], '他不是汉族吧', ['长的确实不像汉族']]"
12,"补充维生素C，可以喝水溶C100，可以买十块钱一瓶的维生素C片，也可以买几十上百块的复合维生素小熊软糖孩子爱吃版调味糖果

一般会攻击维生素片营养单一缺乏其他必须元素的都是糖果厂的软广","['维生素C两块钱一瓶，可能还没那个瓶子贵', ['比瓶子还是贵的，没有挂号费贵是真的', '那瓶子中国产可能几分钱一个'], '即便是进口的柯克兰也只要118一瓶，五百粒，每粒1000毫克维C，药店的大牌子维C泡腾片28块钱一管，太侮辱我的智商了。', ['东北制药，一瓶100粒，不足一块钱', '维生素c能增价的地方只有两个，一是释缓，二是脂溶性'], '你们都不吃水果吗\n\n一天吃一个苹果，啥维生素能缺啊？\n\n不比吃药好吃吗', ['如果是japan的话，那估计确实是贵的…', '贵'], '不用10块一瓶吧。。', ['确实不用，19.5三瓶', '东北制药维C，15块7瓶，每瓶100片'], '10块钱有点贵，前几年我在药店角落里找到买了一瓶，2块钱还是3块钱的', ['这是药房必须配备的基本药物，没有可以向当地卫健委举报', '很多药方问就告诉我没有'], '国产医用VC，两块钱一瓶，疫情前是一块钱一瓶。我一天六粒。', ['维C片吸收不了也不会对身体造成太大的负担的', '稍微多吃一点，然后你就可以根据小便颜色来调整吃多少了'], '也有可能是药店的', [], '答案是就算没有那个倒霉软糖美国人也不卖你1.5一瓶的医用维生素b片，我的维b是nature made牌子的，我记得那瓶10刀以上', [], '维生素片还想要啥元素 要想吃的全 不如吃善存', [], '软糖还真是刚需，对经济宽裕点的人来说，效果一样的情况下怎么舒服怎么来，对于国情来说，在国内你看病想舒服，公立是不可能的，所以私立也是有生态位的。', []]"
13,为了流量，他自己生病去的公立医院就医的,"['东大有综合性私立医院吗，他不去公立综合医院难道等死', ['莆田系私立医院那么多，哪怕再不会用互联网搜索，到各地火车站转一圈也能找到广告', '莆田医院不能去吗？国内又不是没有私有化医院，目前来看都是坑蒙拐骗'], '你去百度搜一下，不都是私立医院？', ['公立医院需要投放广告吗？', '喜欢私立医院可以去莆田系啊，保管舒服'], '去的起吗，国内的收入跟消费成正比吗？他直播收入已经秒杀大多数人了，但他还是去不起', ['他收入6万美元 ，也超过美国中位数了，怎么付不起？', '去不起就不该去呗，私有化什么时候有保证每个人都去得起这一条标准了？'], '有啊，大医院没国际部？', ['私立三甲也挺多的，几乎每个大城市都有的。']]"
14,"之前看切片，有人直播对线问他私立医院治病贵的时候。这货冒出一句，“我又不去私立医院看医生，我看公立的”

你们不会真信他说的那些吧，但凡多看他跟别人对线不是把人家麦ban了，要么就是滚刀肉。真出什么事这货身体可太老实了。","['户子很多话是为了流量而唱反调', ['所以是坏'], '目田头子只是坏，又不是大春。被他骗的目田才是', [], '私有化是工作，国有化是生活', [], '前几天他又说不去医院，选择自愈。', [], '其实这就像中医教授有病也看西医', ['你应该说这就像一边恨国一边黏着不走', '中医调理比较好。西医看急病比较好。 很多老年病西医看不好。'], '因为他没去过私立医院，觉得私立医院也很便宜。他属于自作聪明的那种', [], '神神也要有自己的翟山鹰！', [], '和马督工很像，他倡导什么至少明面上是自己认为对社会有益，自己愿意在这个设想的社会中。而不是现在就开始按设想生活\n\n以私立医院为例，推广私立医院后，充分竞争各取所需，公立医院降低了无谓浪费，整个社会是有益的\n而现在公立医院地位高设备技术好，无可动摇，私立医院泥沙俱下，当前一般人当然是得去公立医院\n\n社会化抚养，前提是要有设想中的措施，而不是现在啥都没有就把孩子扔出去\n\n说白了，你这种人还是从道理上说不动，从人上来批，这个人有问题，所以说的东西都不可信，问题在于并存在“完美的人”', [], '户子这人聪明，能爆金币他就说', []]"
